"id","Product Title","Product Price","Product Original Price","Product Discount","Product URL","Product Image","Product Rating","Store Name","Store URL","Store ID","Total Sales","Ship From","Store Member ID","Trade Info","Sold Count","Shipping","Launch Time","Company Name"
"3256812421435398","Dumpling Squishies with Box, Stretchy Sensory Squeeze Stress Ball, Soft Silicone Baozi Squeezable Toy, Mini Decompression Ball","US $49.80","US $148.54","66%","https://aliexpress.com/item/3256812421435398.html","https://ae-pic-a1.aliexpress-media.com/kf/S0c80338631494bd492ca1866dc9a5713J.jpg","Not Available","Not Available","Not Available","Not Available","Not Available","US","Not Available","Not Available","Not Available","Free","2026-06-27 0:00:00","Not Available"
"3256811986648872","Realistic Artificial Bayberry Fruit Model, TPR Fake Berry Miniature Food Replica for Kitchen Home Decor, Bakery Display Photography Props, Housewarming Gift","US $5.01","US $14.34","65%","https://aliexpress.com/item/3256811986648872.html","https://ae-pic-a1.aliexpress-media.com/kf/S40fc2f5d792f4c74897257a6f2d8c584H.jpg","4.9","Not Available","Not Available","Not Available","Not Available","US","Not Available","1,000+ sold","1000","Free","2026-04-25 0:00:00","Not Available"
"3256812408057593","HOT 2026 Affordable Squishy Blind Box – 3 Random Draws (Min. 2 Items Guaranteed) High-Value Surprise Set","US $5.13","US $11.67","55%","https://aliexpress.com/item/3256812408057593.html","https://ae-pic-a1.aliexpress-media.com/kf/S89bb0bc06dc24ecba97809c8f1bd3187Q.jpg","4.9","Not Available","Not Available","Not Available","Not Available","US","Not Available","240 sold","240","Free","2026-06-25 0:00:00","Not Available"
"3256809817375106","Joyfy 100 Pcs Mini Animals & Fruit Mochi Squishies for Kids Party Favor Toys Stress Relief Novelty Fidget Toys Birthday Gifts","US $20.41","US $61.86","67%","https://aliexpress.com/item/3256809817375106.html","https://ae-pic-a1.aliexpress-media.com/kf/S6679219ec7994e10985913a575f2f2cct.jpg","5","Not Available","Not Available","Not Available","Not Available","US","Not Available","79 sold","79","Free","2025-09-19 0:00:00","Not Available"
"3256812124548495","Squishy Fruit Grapes Fidget Toy Squeeze Stress Relief Hand Toy Anti-Anxiety Fruit Stretchy Slow Rising Toy Creative Sensory Toy","US $6.06","US $20.22","70%","https://aliexpress.com/item/3256812124548495.html","https://ae-pic-a1.aliexpress-media.com/kf/Se6867f7b0fee43e786ed1715ee7a24deI.jpg","Not Available","Not Available","Not Available","Not Available","Not Available","US","Not Available","10 sold","10","Free","2026-05-16 0:00:00","Not Available"
"3256812396620255","Funny Ugly Face Stress Ball Squishy Toy, Big Blue Lips Googly Eyes TPR Squeeze Fidget Ball, Soft Durable Anxiety Relief Sensory Toy for Kids Adults, Novelty Prank Desktop Gift","US $2.19","US $6.53","66%","https://aliexpress.com/item/3256812396620255.html","https://ae-pic-a1.aliexpress-media.com/kf/S960a161d27174b738fbd9feda235a0cbU.png","Not Available","Not Available","Not Available","Not Available","Not Available","US","Not Available","5 sold","5","Free","2026-06-24 0:00:00","Not Available"
"3256812108378881","2027Glitter Dumpling Glitter Dumpling Squishy with Box Dumplings Sensory Squeeze Toy for Stress Relief","US $8.58","US $28.62","70%","https://aliexpress.com/item/3256812108378881.html","https://ae-pic-a1.aliexpress-media.com/kf/Sfc78441c46354f95a7618ff58200590ay.jpg","Not Available","Not Available","Not Available","Not Available","Not Available","US","Not Available","3 sold","3","Free","2026-05-14 0:00:00","Not Available"
"3256812107419053","Cube By Schylling Sensory Squeeze Toy Ice Cream Color Squishy Stress Relief Fidget Toys Children Adults Collectable","US $7.53","US $25.11","70%","https://aliexpress.com/item/3256812107419053.html","https://ae-pic-a1.aliexpress-media.com/kf/S8e7c20063fd645659e9d9d468674da8cc.jpg","Not Available","Not Available","Not Available","Not Available","Not Available","US","Not Available","2 sold","2","Free","2026-05-14 0:00:00","Not Available"
"3256812438661442","Sticky Box Cake Squishy Toy Slow Rising Squeeze Toy Butter Ice Cream Box Squishy Fidget Toy Anti Stress Release Hand Relax Gift","US $6.58","US $19.63","66%","https://aliexpress.com/item/3256812438661442.html","https://ae-pic-a1.aliexpress-media.com/kf/S3c4cabca15f04e328f6be1f0502d5d9ev.jpg","Not Available","Not Available","Not Available","Not Available","Not Available","US","Not Available","Not Available","Not Available","Free","2026-06-29 0:00:00","Not Available"
"3256812566151346","Cute and fun unicorn squishy toy: A soft and adorable little unicorn that brings slow-rebound joy. It can return to its original shape when squeezed, soothing the mind like a cloud. Available in 4 macaron colors: purple/blue/orange/pink.","US $5.92","US $17.67","66%","https://aliexpress.com/item/3256812566151346.html","https://ae-pic-a1.aliexpress-media.com/kf/Sae1e2938c7964e18902b4f14a9da4167Q.jpg","Not Available","Not Available","Not Available","Not Available","Not Available","US","Not Available","Not Available","Not Available","Free","2026-07-16 0:00:00","Not Available"
"3256812559641185","Cute face-changing squishy toy set, with customizable expressions.Available in pink, blue, and yellow.Exquisite gift, ideal for birthday parties, Halloween, Thanksgiving, and Christmas.Very suitable for children's party gift bags.Random color","US $6.09","US $18.17","66%","https://aliexpress.com/item/3256812559641185.html","https://ae-pic-a1.aliexpress-media.com/kf/S16c09b1a9b194f5887dc3f4afedd6ac7Y.jpg","Not Available","Not Available","Not Available","Not Available","Not Available","US","Not Available","Not Available","Not Available","Free","2026-07-16 0:00:00","Not Available"
"3256812566046180","colorful squishy balls, slow rising and rebounding, ideal as a birthday gift, classroom prize, party gift, or gift for classmates. They are very good squishy toys. (Random color styles)","US $5.92","US $17.67","66%","https://aliexpress.com/item/3256812566046180.html","https://ae-pic-a1.aliexpress-media.com/kf/S9f3b086b94a74e19958fed9ebcacbc845.jpg","Not Available","Not Available","Not Available","Not Available","Not Available","US","Not Available","Not Available","Not Available","Free","2026-07-16 0:00:00","Not Available"
"3256812525464125","Fun and creative squishy dolls—hilarious squishy toys perfect for parties, gifts, and gift sets. They’re soft and highly elastic","US $7.73","US $23.05","66%","https://aliexpress.com/item/3256812525464125.html","https://ae-pic-a1.aliexpress-media.com/kf/S6293ee0616d64c81bd0fd64fdcc1e6f4R.jpg","Not Available","Not Available","Not Available","Not Available","Not Available","US","Not Available","Not Available","Not Available","Free","2026-07-11 0:00:00","Not Available"
"3256812566157291","randomly colored heart-shaped maltose squishy toys - soft and slow to rebound, cute texture, perfect for party favors, birthday gifts, Valentine's Day, Christmas stocking stuffers, and Easter egg fillers (for ages 3 and up),","US $5.92","US $17.67","66%","https://aliexpress.com/item/3256812566157291.html","https://ae-pic-a1.aliexpress-media.com/kf/Sb0380512a6204c85ae809cbf0fe1b33dU.jpg","Not Available","Not Available","Not Available","Not Available","Not Available","US","Not Available","Not Available","Not Available","Free","2026-07-16 0:00:00","Not Available"
